time,OCV,SOC,,,
0.0,4.187915,1.0,,,
59.99799999999230,4.1864800000000000,0.9994857483979090,,,
120.00099999998900,4.184965,0.9985723224753120,,,
179.99799999999200,4.1837,0.9976588965527160,,,
239.9990000000110,4.18252,0.99674547063012,,,
299.9979999999920,4.1813400000000000,0.9958320447075240,,,
360.0009999999890,4.180325,0.9949186187849280,,,
420.0009999999890,4.178725,0.9940087890273810,,,
480.0,4.176705,0.9930989592698350,,,
539.9990000000110,4.174685,0.9921855333472390,,,
600.0009999999890,4.172825,0.9912757035896920,,,
660.0,4.170805,0.9903622776670960,,,
719.9990000000110,4.168950000000000,0.9894524479095490,,,
779.9979999999920,4.16718,0.9885390219869530,,,
839.9990000000110,4.16533,0.9876291922294070,,,
900.0,4.16364,0.9867157663068100,,,
959.9979999999920,4.161955,0.9858023403842140,,,
1019.9990000000100,4.160355,0.984888914461618,,,
1079.9990000000100,4.158665,0.9839790847040720,,,
1139.9979999999900,4.15707,0.9830656587814750,,,
1200.0,4.1554650000000000,0.9821522328588790,,,
1260.0,4.1540300000000000,0.9812388069362830,,,
1319.9979999999900,4.152515,0.980325381013687,,,
1379.9990000000100,4.151085,0.9794155512561400,,,
1440.0009999999900,4.149650000000000,0.9785057214985940,,,
1499.9990000000100,4.14822,0.9775922955759980,,,
1559.9979999999900,4.14687,0.9766824658184510,,,
1619.9990000000100,4.14552,0.9757690398958550,,,
1679.9990000000100,4.144255000000000,0.9748520178082090,,,
1740.0,4.142990000000000,0.9739421880506630,,,
1799.9990000000100,4.14173,0.9730323582931160,,,
1859.9990000000100,4.14055,0.9721225285355700,,,
1920.0009999999900,4.139285000000000,0.9712091026129740,,,
1979.9990000000100,4.13819,0.9702992728554270,,,
2039.9979999999900,4.13701,0.9693858469328310,,,
2099.9979999999900,4.13583,0.9684724210102350,,,
2159.9979999999900,4.134735,0.9675589950876380,,,
2220.0,4.133805000000000,0.9666419729999930,,,
2279.9979999999900,4.13271,0.9657285470773970,,,
2340.0,4.1317,0.9648151211548010,,,
2399.9979999999900,4.1306900000000000,0.9639052913972540,,,
2459.997000000000,4.129675000000000,0.9629918654746580,,,
2520.0009999999900,4.128745,0.962074843387012,,,
2579.9979999999900,4.12782,0.961161417464416,,,
2639.9990000000100,4.126895,0.9602515877068690,,,
2700.0,4.12605,0.9593381617842730,,,
2759.9990000000100,4.125125000000000,0.9584283320267270,,,
2820.0009999999900,4.12428,0.9575149061041310,,,
2879.9979999999900,4.123435,0.956605076346584,,,
2940.0,4.1225950000000000,0.9556952465890370,,,
2999.9990000000100,4.121840000000000,0.9547818206664410,,,
3059.9990000000100,4.121075,0.9538719909088950,,,
3120.0,4.120235,0.9529621611513480,,,
3179.9979999999900,4.11956,0.9520487352287520,,,
3240.0,4.118805,0.9511353093061560,,,
3299.9979999999900,4.11813,0.9502254795486090,,,
3359.9990000000100,4.117370000000000,0.9493120536260130,,,
3419.9979999999900,4.116615,0.948398627703417,,,
3479.9979999999900,4.115935,0.9474852017808210,,,
3539.9979999999900,4.115350000000000,0.9465681796931750,,,
3600.0009999999900,4.114675,0.9456619461006780,,,
3659.9979999999900,4.114,0.9447521163431320,,,
3719.9979999999900,4.11341,0.943842286585585,,,
3779.9979999999900,4.11282,0.942928860662989,,,
3839.9990000000100,4.112145,0.9420154347403930,,,
3900.0009999999900,4.111555,0.9411056049828460,,,
3959.9990000000100,4.110965,0.9401921790602500,,,
4019.9990000000100,4.11046,0.9392787531376540,,,
4079.9979999999900,4.10987,0.9383653272150580,,,
4140.000999999990,4.10936,0.9374519012924620,,,
4200.000999999990,4.108775,0.9365384753698660,,,
4260.000999999990,4.10835,0.935628645612319,,,
4319.999000000010,4.1077650000000000,0.9347188158547720,,,
4379.997999999990,4.107255,0.9338053899321760,,,
4439.999000000010,4.10675,0.9328919640095800,,,
4499.997999999990,4.106245,0.9319821342520340,,,
4559.999000000010,4.10574,0.9310687083294370,,,
4620.0,4.105315,0.930158878571891,,,
4679.997999999990,4.104815,0.9292454526492950,,,
4739.999000000010,4.10439,0.9283320267266990,,,
4799.999000000010,4.10405,0.9274221969691520,,,
4860.0,4.10355,0.9265087710465560,,,
4920.0,4.103125,0.9255989412890090,,,
4980.0,4.102705,0.9246855153664130,,,
5039.999000000010,4.102285,0.9237756856088670,,,
5099.999000000010,4.10186,0.9228658558513200,,,
5160.0,4.10144,0.921952429928724,,,
5220.000999999990,4.10102,0.9210426001711770,,,
5279.999000000010,4.100685,0.9201327704136310,,,
5339.999000000010,4.100175,0.9192157483259850,,,
5399.999000000010,4.09984,0.9183023224033890,,,
5459.997999999990,4.099505000000000,0.9173888964807930,,,
5519.999000000010,4.099165000000000,0.9164754705581970,,,
5579.999000000010,4.098745,0.9155620446356000,,,
5639.999000000010,4.098410000000000,0.914652214878054,,,
5699.999000000010,4.09807,0.9137387889554580,,,
5759.997999999990,4.09773,0.9128289591979110,,,
5819.999000000010,4.0974,0.9119155332753150,,,
5879.999000000010,4.09706,0.9110021073527190,,,
5939.999000000010,4.096635,0.9100922775951730,,,
5999.997999999990,4.096305,0.9091788516725760,,,
6060.0,4.095965,0.9082690219150300,,,
6120.000999999990,4.095625,0.9073555959924340,,,
6180.000999999990,4.0952850000000000,0.9064421700698370,,,
6239.997999999990,4.09504,0.9055323403122910,,,
6300.0,4.0947,0.9046189143896950,,,
6360.0,4.09436,0.9037054884670990,,,
6419.997000000000,4.094025,0.9027920625445030,,,
6479.999000000010,4.093775,0.9018822327869560,,,
6540.0,4.093435,0.9009724030294090,,,
